assunto_id,assunto,fonte,tipo,url,status
5,Lei 12.550/2011,Presidência da República,lei,https://www.planalto.gov.br/ccivil_03/_ato2011-2014/2011/lei/l12550.htm,validado
23,Estatuto Social EBSERH,HU Brasil/Ebserh,estatuto,https://www.gov.br/ebserh/pt-br/acesso-a-informacao/institucional/legislacao-e-normas/rede-ebserh,validado
36,Regimento Interno EBSERH,HU Brasil/Ebserh,regimento,https://www.gov.br/ebserh/pt-br/acesso-a-informacao/institucional/legislacao-e-normas/rede-ebserh/regimento-sede,validado
45,Código de Ética e Conduta EBSERH,HU Brasil/Ebserh,codigo,https://www.gov.br/ebserh/pt-br/acesso-a-informacao/agentes-publicos/legislacao-e-normas-de-gestao-de-pessoas/conformidade-funcional,validado
61,Regulamento de Pessoal EBSERH,HU Brasil/Ebserh,regulamento,https://www.gov.br/ebserh/pt-br/acesso-a-informacao/agentes-publicos/legislacao-e-normas-de-gestao-de-pessoas/conformidade-funcional,validado
